"Sex","Age","Pclass","Fare","SibSp","Parch","Survived"
"male",22,"3",7.25,1,0,"no"
"female",38,"1",71.2833,1,0,"yes"
"female",26,"3",7.925,0,0,"yes"
"female",35,"1",53.1,1,0,"yes"
"male",35,"3",8.05,0,0,"no"
"male",25.14,"3",8.4583,0,0,"no"
"male",54,"1",51.8625,0,0,"no"
"male",2,"3",21.075,3,1,"no"
"female",27,"3",11.1333,0,2,"yes"
"female",14,"2",30.0708,1,0,"yes"
"female",4,"3",16.7,1,1,"yes"
"female",58,"1",26.55,0,0,"yes"
"male",20,"3",8.05,0,0,"no"
"male",39,"3",31.275,1,5,"no"
"female",14,"3",7.8542,0,0,"no"
"female",55,"2",16,0,0,"yes"
"male",2,"3",29.125,4,1,"no"
"male",29.88,"2",13,0,0,"yes"
"female",31,"3",18,1,0,"no"
"female",25.14,"3",7.225,0,0,"yes"
"male",35,"2",26,0,0,"no"
"male",34,"2",13,0,0,"yes"
"female",15,"3",8.0292,0,0,"yes"
"male",28,"1",35.5,0,0,"yes"
"female",8,"3",21.075,3,1,"no"
"female",38,"3",31.3875,1,5,"yes"
"male",25.14,"3",7.225,0,0,"no"
"male",19,"1",263,3,2,"no"
"female",25.14,"3",7.8792,0,0,"yes"
"male",25.14,"3",7.8958,0,0,"no"
"male",40,"1",27.7208,0,0,"no"
"female",38.23,"1",146.5208,1,0,"yes"
"female",25.14,"3",7.75,0,0,"yes"
"male",66,"2",10.5,0,0,"no"
"male",28,"1",82.1708,1,0,"no"
"male",42,"1",52,1,0,"no"
"male",25.14,"3",7.2292,0,0,"yes"
"male",21,"3",8.05,0,0,"no"
"female",18,"3",18,2,0,"no"
"female",14,"3",11.2417,1,0,"yes"
"female",40,"3",9.475,1,0,"no"
"female",27,"2",21,1,0,"no"
"male",25.14,"3",7.8958,0,0,"no"
"female",3,"2",41.5792,1,2,"yes"
"female",19,"3",7.8792,0,0,"yes"
"male",25.14,"3",8.05,0,0,"no"
"male",25.14,"3",15.5,1,0,"no"
"female",25.14,"3",7.75,0,0,"yes"
"male",25.14,"3",21.6792,2,0,"no"
"female",18,"3",17.8,1,0,"no"
"male",7,"3",39.6875,4,1,"no"
"male",21,"3",7.8,0,0,"no"
"female",49,"1",76.7292,1,0,"yes"
"female",29,"2",26,1,0,"yes"
"male",65,"1",61.9792,0,1,"no"
"male",38.23,"1",35.5,0,0,"yes"
"female",21,"2",10.5,0,0,"yes"
"male",28.5,"3",7.2292,0,0,"no"
"female",5,"2",27.75,1,2,"yes"
"male",11,"3",46.9,5,2,"no"
"male",22,"3",7.2292,0,0,"no"
"female",38,"1",80,0,0,"yes"
"male",45,"1",83.475,1,0,"no"
"male",4,"3",27.9,3,2,"no"
"male",38.23,"1",27.7208,0,0,"no"
"male",25.14,"3",15.2458,1,1,"yes"
"female",29,"2",10.5,0,0,"yes"
"male",19,"3",8.1583,0,0,"no"
"female",17,"3",7.925,4,2,"yes"
"male",26,"3",8.6625,2,0,"no"
"male",32,"2",10.5,0,0,"no"
"female",16,"3",46.9,5,2,"no"
"male",21,"2",73.5,0,0,"no"
"male",26,"3",14.4542,1,0,"no"
"male",32,"3",56.4958,0,0,"yes"
"male",25,"3",7.65,0,0,"no"
"male",25.14,"3",7.8958,0,0,"no"
"male",25.14,"3",8.05,0,0,"no"
"male",0.83,"2",29,0,2,"yes"
"female",30,"3",12.475,0,0,"yes"
"male",22,"3",9,0,0,"no"
"male",29,"3",9.5,0,0,"yes"
"female",25.14,"3",7.7875,0,0,"yes"
"male",28,"1",47.1,0,0,"no"
"female",17,"2",10.5,0,0,"yes"
"female",33,"3",15.85,3,0,"yes"
"male",16,"3",34.375,1,3,"no"
"male",25.14,"3",8.05,0,0,"no"
"female",23,"1",263,3,2,"yes"
"male",24,"3",8.05,0,0,"no"
"male",29,"3",8.05,0,0,"no"
"male",20,"3",7.8542,0,0,"no"
"male",46,"1",61.175,1,0,"no"
"male",26,"3",20.575,1,2,"no"
"male",59,"3",7.25,0,0,"no"
"male",25.14,"3",8.05,0,0,"no"
"male",71,"1",34.6542,0,0,"no"
"male",23,"1",63.3583,0,1,"yes"
"female",34,"2",23,0,1,"yes"
"male",34,"2",26,1,0,"no"
"female",28,"3",7.8958,0,0,"no"
"male",25.14,"3",7.8958,0,0,"no"
"male",21,"1",77.2875,0,1,"no"
"male",33,"3",8.6542,0,0,"no"
"male",37,"3",7.925,2,0,"no"
"male",28,"3",7.8958,0,0,"no"
"female",21,"3",7.65,0,0,"yes"
"male",25.14,"3",7.775,0,0,"yes"
"male",38,"3",7.8958,0,0,"no"
"female",25.14,"3",24.15,1,0,"yes"
"male",47,"1",52,0,0,"no"
"female",14.5,"3",14.4542,1,0,"no"
"male",22,"3",8.05,0,0,"no"
"female",20,"3",9.825,1,0,"no"
"female",17,"3",14.4583,0,0,"no"
"male",21,"3",7.925,0,0,"no"
"male",70.5,"3",7.75,0,0,"no"
"male",29,"2",21,1,0,"no"
"male",24,"1",247.5208,0,1,"no"
"female",2,"3",31.275,4,2,"no"
"male",21,"2",73.5,2,0,"no"
"male",25.14,"3",8.05,0,0,"no"
"male",32.5,"2",30.0708,1,0,"no"
"female",32.5,"2",13,0,0,"yes"
"male",54,"1",77.2875,0,1,"no"
"male",12,"3",11.2417,1,0,"yes"
"male",25.14,"3",7.75,0,0,"no"
"male",24,"3",7.1417,0,0,"yes"
"female",25.14,"3",22.3583,1,1,"yes"
"male",45,"3",6.975,0,0,"no"
"male",33,"3",7.8958,0,0,"no"
"male",20,"3",7.05,0,0,"no"
"female",47,"3",14.5,1,0,"no"
"female",29,"2",26,1,0,"yes"
"male",25,"2",13,0,0,"no"
"male",23,"2",15.0458,0,0,"no"
"female",19,"1",26.2833,0,2,"yes"
"male",37,"1",53.1,1,0,"no"
"male",16,"3",9.2167,0,0,"no"
"male",24,"1",79.2,0,0,"no"
"female",25.14,"3",15.2458,0,2,"no"
"female",22,"3",7.75,0,0,"yes"
"female",24,"3",15.85,1,0,"yes"
"male",19,"3",6.75,0,0,"no"
"male",18,"2",11.5,0,0,"no"
"male",19,"2",36.75,1,1,"no"
"male",27,"3",7.7958,0,0,"yes"
"female",9,"3",34.375,2,2,"no"
"male",36.5,"2",26,0,2,"no"
"male",42,"2",13,0,0,"no"
"male",51,"2",12.525,0,0,"no"
"female",22,"1",66.6,1,0,"yes"
"male",55.5,"3",8.05,0,0,"no"
"male",40.5,"3",14.5,0,2,"no"
"male",25.14,"3",7.3125,0,0,"no"
"male",51,"1",61.3792,0,1,"no"
"female",16,"3",7.7333,0,0,"yes"
"male",30,"3",8.05,0,0,"no"
"male",25.14,"3",8.6625,0,0,"no"
"male",25.14,"3",69.55,8,2,"no"
"male",44,"3",16.1,0,1,"no"
"female",40,"2",15.75,0,0,"yes"
"male",26,"3",7.775,0,0,"no"
"male",17,"3",8.6625,0,0,"no"
"male",1,"3",39.6875,4,1,"no"
"male",9,"3",20.525,0,2,"yes"
"female",38.23,"1",55,0,1,"yes"
"female",45,"3",27.9,1,4,"no"
"male",38.23,"1",25.925,0,0,"no"
"male",28,"3",56.4958,0,0,"no"
"male",61,"1",33.5,0,0,"no"
